Rank,Company Name,Number of Employees,Previous Rank,Revenues,Revenue Change,Profits,Profit Change,Assets,Market Value
207,Lincoln National,"9,057",205,"$13,330 ",-1.80%,"$1,192.00 ",3.30%,"$2,61,627","$14,760 "
208,Newell Brands,"53,400",434,"$13,264 ",122.10%,$527.80 ,50.80%,"$33,838 ","$22,787 "
209,Land O’Lakes,"10,000",215,"$13,233 ",0.60%,$244.90 ,-20.40%,"$8,305 ",-
210,Marsh & McLennan,"60,000",222,"$13,211 ",2.50%,"$1,768.00 ",10.60%,"$18,190 ","$38,078 "
211,Ecolab,"47,565",206,"$13,153 ",-2.90%,"$1,229.60 ",22.70%,"$18,330 ","$36,356 "
212,C.H. Robinson Worldwide,"14,125",208,"$13,144 ",-2.50%,$513.40 ,0.70%,"$3,688 ","$10,958 "
213,Loews,"15,800",210,"$13,105 ",-2.30%,$654.00 ,151.50%,"$76,594 ","$15,747 "
214,CBRE Group,"75,000",259,"$13,072 ",20.40%,$572.00 ,4.50%,"$10,780 ","$11,753 "
215,Kinder Morgan,"11,121",198,"$13,058 ",-9.30%,$708.00 ,179.80%,"$80,305 ","$48,533 "
216,Kellogg,"37,369",207,"$13,014 ",-3.80%,$694.00 ,13.00%,"$15,111 ","$25,417 "
217,Western Digital,"72,878",194,"$12,994 ",-10.80%,$242.00 ,-83.50%,"$32,862 ","$23,775 "
218,Guardian Life Ins. Co. of America,"8,876",226,"$12,919 ",2.30%,$263.90 ,-35.70%,"$70,339 ",-
219,Ross Stores,"78,600",237,"$12,867 ",7.80%,"$1,117.70 ",9.50%,"$5,309 ","$25,814 "
220,L Brands,"59,100",234,"$12,574 ",3.50%,"$1,158.10 ",-7.60%,"$8,170 ","$13,426 "
221,J.C. Penney,"1,06,000",228,"$12,547 ",-0.60%,$1.00 ,-,"$9,314 ","$1,901 "
222,Farmers Insurance Exchange,"13,309",227,"$12,513 ",-0.90%,-$147.90,-,"$16,057 ",-
223,Reynolds American,"5,525",266,"$12,503 ",17.10%,"$6,073.00 ",86.70%,"$51,095 ","$89,862 "
224,Viacom,"9,650",213,"$12,488 ",-5.90%,"$1,438.00 ",-25.20%,"$22,508 ","$18,503 "
225,Becton Dickinson,"50,928",278,"$12,483 ",21.40%,$976.00 ,40.40%,"$25,586 ","$39,041 "
226,Micron Technology,"31,400",173,"$12,399 ",-23.40%,-$276.00,-109.50%,"$27,540 ","$31,972 "
227,Principal Financial,"14,854",236,"$12,394 ",3.60%,"$1,316.50 ",6.70%,"$2,28,014","$18,143 "
228,Alcoa,"41,500",126,"$12,394 ",-45.00%,-$941.00,-,"$20,038 ","$11,604 "
229,NRG Energy,"8,763",193,"$12,351 ",-15.80%,-$774.00,-,"$30,355 ","$5,911 "
230,VF,"69,000",231,"$12,207 ",-1.40%,"$1,074.10 ",-12.80%,"$9,739 ","$22,786 "
231,Devon Energy,"3,545",216,"$12,197 ",-7.20%,"-$3,302.00",-,"$25,913 ","$21,886 "
232,D.R. Horton,"6,976",260,"$12,157 ",12.30%,$886.30 ,18.10%,"$11,559 ","$12,438 "
