city,Country,Date,latitude,longitude,Max Temperature,Humidity,Cloudiness,Wind_Speed
neiafu,PG,2018-11-11 22:39:11,-8.88,147.74,71.2,89,2.26,64
neiafu,PH,2018-11-11 22:40:44,13.56,123.37,79.89,99,5.39,76
neiafu,ML,2018-11-11 22:40:46,20.2,1.01,50.77,37,3.04,12
neiafu,US,2018-11-11 21:58:00,34.11,-118.17,66.92,35,2.71,1
neiafu,CA,2018-11-11 22:00:00,54.15,-113.85,15.8,85,6.93,1
neiafu,SA,2018-11-11 21:00:00,18.39,42.45,64.4,67,3.87,0
neiafu,IE,2018-11-11 22:00:00,53.8,-9.52,44.6,100,13.87,75
neiafu,VU,2018-11-11 22:40:58,-19.55,169.27,74.35,100,21.83,92
neiafu,US,2018-11-11 22:26:00,45.84,-119.29,33.08,84,6.93,90
neiafu,BR,2018-11-11 22:40:12,-10.65,-68.5,76.02,92,2.04,0
neiafu,AR,2018-11-11 22:00:00,-33.01,-68.8,60.8,72,6.93,90
neiafu,RU,2018-11-11 22:41:10,69.3,139.9,-3.19,60,6.73,32
neiafu,NZ,2018-11-11 22:38:45,-45.87,170.5,52.26,96,3.31,80
neiafu,AR,2018-11-11 22:41:14,-40.81,-62.99,54.24,99,13.56,92
