city,Country,Date,latitude,longitude,Max Temperature,Humidity,Cloudiness,Wind_Speed
cootamundra,GL,2018-11-15 17:50:00,65.61,-37.64,30.2,68,13.87,80
cootamundra,BR,2018-11-15 18:21:56,-20.13,-40.31,76.56,94,17.56,68
cootamundra,MM,2018-11-15 18:21:57,17.78,95.75,85.29,76,3.02,0
cootamundra,RU,2018-11-15 18:21:58,66.32,-179.17,-7.73,60,2.35,64
cootamundra,US,2018-11-15 17:56:00,20.89,-156.47,82.94,69,13.87,40
cootamundra,PT,2018-11-15 18:00:00,38.73,-27.07,64.4,88,41.83,40
cootamundra,TL,2018-11-15 18:22:02,-8.93,125.41,82.72,74,0.89,20
cootamundra,RU,2018-11-15 18:22:04,68.06,166.44,-24.11,34,2.24,0
cootamundra,KZ,2018-11-15 17:30:00,49.96,82.61,8.6,92,2.57,75
cootamundra,AI,2018-11-15 18:00:00,18.22,-63.06,80.6,78,10.29,75
cootamundra,RU,2018-11-15 18:22:09,44.76,136.29,26.02,49,10.29,0
cootamundra,MG,2018-11-15 18:22:10,-14.27,50.17,74.98,100,11.41,80
cootamundra,AU,2018-11-15 17:30:00,-35.55,138.62,66.2,45,16.11,0
cootamundra,US,2018-11-15 18:16:00,41.51,-81.69,35.96,88,10.29,90
cootamundra,RU,2018-11-15 18:22:15,66.77,123.37,-8.0,64,9.62,36
cootamundra,CO,2018-11-15 18:22:17,11.54,-72.91,77.59,100,9.4,32
cootamundra,PE,2018-11-15 18:22:17,-4.58,-81.27,67.6,82,6.93,0
cootamundra,CY,2018-11-15 18:00:00,34.92,32.53,59.0,72,5.82,75
cootamundra,NO,2018-11-15 18:22:21,70.86,29.09,41.19,100,12.97,88
cootamundra,RU,2018-11-15 18:22:22,50.68,156.12,39.43,98,19.35,12
cootamundra,RU,2018-11-15 18:22:27,63.05,179.32,12.07,100,17.34,32
cootamundra,RU,2018-11-15 18:22:34,42.06,48.29,34.89,84,0.56,36
cootamundra,CA,2018-11-15 18:22:35,51.23,-101.35,18.87,79,6.93,56
cootamundra,AU,2018-11-15 18:22:37,-34.18,142.16,73.41,64,5.59,0
cootamundra,RU,2018-11-15 18:22:38,68.75,161.3,-6.2,100,1.9,24
cootamundra,IN,2018-11-15 18:22:39,12.31,75.11,84.39,83,5.82,24
cootamundra,US,2018-11-15 18:00:00,39.62,-77.74,35.6,88,11.41,90
cootamundra,ID,2018-11-15 18:22:42,-9.65,120.26,86.01,82,4.7,36
cootamundra,ES,2018-11-15 18:00:00,28.66,-17.92,64.4,59,5.82,40
cootamundra,TZ,2018-11-15 17:00:00,-6.76,38.13,71.6,88,3.58,5
cootamundra,BR,2018-11-15 18:00:00,2.82,-60.67,84.2,70,6.93,0
cootamundra,ET,2018-11-15 18:22:49,4.89,38.09,53.29,90,2.68,12
cootamundra,RU,2018-11-15 18:21:33,58.05,38.83,26.74,84,7.72,48
cootamundra,BR,2018-11-15 18:22:52,-4.09,-63.14,75.34,97,2.57,24
cootamundra,NE,2018-11-15 18:22:52,14.89,5.26,60.4,34,7.61,12
cootamundra,AU,2018-11-15 18:22:53,-20.77,117.15,101.08,17,16.78,92
cootamundra,LR,2018-11-15 18:22:55,8.2,-10.37,69.58,97,2.46,64
cootamundra,ES,2018-11-15 18:00:00,42.77,-9.06,53.6,87,8.05,0
cootamundra,GY,2018-11-15 17:00:00,6.8,-58.16,77.0,100,4.7,75
cootamundra,IN,2018-11-15 18:23:00,16.87,81.93,82.27,79,13.87,88
cootamundra,MM,2018-11-15 18:23:01,16.78,94.73,85.74,82,4.59,0
cootamundra,AR,2018-11-15 18:21:50,-43.3,-65.11,51.85,33,10.4,0
cootamundra,SN,2018-11-15 18:23:03,14.69,-16.54,74.62,57,10.63,92
cootamundra,CA,2018-11-15 17:00:00,58.81,-122.69,6.8,77,9.17,90
cootamundra,ID,2018-11-15 18:23:06,0.57,122.3,84.84,77,1.68,36
cootamundra,US,2018-11-15 18:23:07,37.17,-99.65,33.31,81,4.81,0
cootamundra,PT,2018-11-15 18:00:00,39.36,-9.38,57.2,87,4.7,0
cootamundra,RU,2018-11-15 18:20:45,66.83,70.83,10.36,82,18.23,20
cootamundra,PL,2018-11-15 18:23:10,54.42,16.41,41.05,100,13.87,0
cootamundra,PT,2018-11-15 18:23:12,41.42,-6.55,35.65,91,3.69,0
cootamundra,BR,2018-11-15 18:23:14,-17.73,-39.27,78.94,100,19.8,20
cootamundra,IL,2018-11-15 18:23:15,32.76,34.97,70.3,100,18.45,92
cootamundra,BR,2018-11-15 18:00:00,-28.24,-48.67,71.6,68,4.7,0
cootamundra,US,2018-11-15 17:56:00,61.22,-149.89,26.06,99,6.93,75
cootamundra,JP,2018-11-15 17:30:00,35.73,140.83,60.8,63,3.36,20
cootamundra,IN,2018-11-15 18:23:23,16.78,77.13,75.57,59,6.82,0
cootamundra,PE,2018-11-15 18:00:00,-13.71,-76.2,64.4,82,13.87,40
cootamundra,GL,2018-11-15 17:50:00,69.22,-51.1,10.4,85,3.36,20
cootamundra,AU,2018-11-15 18:23:28,-28.95,153.24,74.76,89,4.92,48
cootamundra,MA,2018-11-15 18:22:43,29.7,-9.73,57.97,96,4.47,92
cootamundra,YE,2018-11-15 18:23:30,13.92,44.15,41.82,87,2.01,0
cootamundra,CA,2018-11-15 18:15:00,49.14,-102.99,35.6,100,8.05,90
cootamundra,BO,2018-11-15 18:23:34,-18.38,-66.97,52.12,85,13.87,64
cootamundra,ZA,2018-11-15 18:23:36,-31.33,27.85,44.83,86,2.35,0
cootamundra,CA,2018-11-15 17:00:00,63.59,-135.9,-5.81,63,6.93,20
cootamundra,GL,2018-11-15 18:23:38,61.99,-49.67,33.54,96,5.03,0
cootamundra,EG,2018-11-15 17:00:00,24.09,32.9,60.8,59,3.36,0
cootamundra,RU,2018-11-15 17:30:00,59.7,150.17,14.0,92,3.13,75
cootamundra,PG,2018-11-15 18:23:42,-3.66,152.44,86.32,95,2.35,44
cootamundra,BR,2018-11-15 18:23:43,-30.17,-50.22,64.72,85,7.83,0
cootamundra,BR,2018-11-15 18:23:45,-6.03,-44.25,73.72,92,2.01,20
cootamundra,BR,2018-11-15 18:19:28,-21.64,-41.05,75.97,100,11.18,88
cootamundra,AU,2018-11-15 18:23:50,-37.83,140.78,64.27,66,6.04,0
cootamundra,IN,2018-11-15 18:23:54,23.2,81.98,70.57,62,4.14,0
cootamundra,DE,2018-11-15 17:56:00,48.96,10.91,33.8,100,4.7,1
cootamundra,WS,2018-11-15 17:00:00,-13.87,-171.6,84.2,79,9.17,40
cootamundra,IS,2018-11-15 18:00:00,64.0,-22.56,37.4,86,3.36,40
cootamundra,RU,2018-11-15 18:24:01,71.64,128.87,-0.8,67,6.15,76
cootamundra,US,2018-11-15 17:58:00,34.64,-120.46,62.06,71,4.7,1
cootamundra,NZ,2018-11-15 17:30:00,-43.53,172.64,62.6,72,26.4,20
cootamundra,TH,2018-11-15 17:00:00,19.9,99.84,73.4,100,1.12,40
cootamundra,JP,2018-11-15 17:00:00,33.93,134.5,57.2,58,3.36,75
cootamundra,AU,2018-11-15 17:30:00,-28.0,153.41,78.8,57,12.75,20
cootamundra,CG,2018-11-15 18:24:14,1.61,16.05,73.86,95,2.24,80
cootamundra,BR,2018-11-15 18:24:15,-1.2,-46.02,80.79,83,10.4,76
cootamundra,ID,2018-11-15 18:24:17,-0.92,100.36,82.27,100,3.13,0
cootamundra,CL,2018-11-15 18:24:20,-25.41,-70.49,53.52,96,0.78,0
cootamundra,CN,2018-11-15 17:00:00,32.34,118.83,55.4,76,8.95,40
cootamundra,CI,2018-11-15 18:24:23,6.74,-7.35,72.46,97,2.57,56
cootamundra,DO,2018-11-15 18:24:24,18.21,-71.1,79.3,100,12.86,48
cootamundra,OM,2018-11-15 16:50:00,17.01,54.1,75.2,60,2.24,0
cootamundra,GL,2018-11-15 17:50:00,60.91,-46.05,39.2,29,33.33,20
cootamundra,CL,2018-11-15 18:00:00,-32.72,-71.41,60.8,77,5.82,0
cootamundra,NO,2018-11-15 18:24:33,67.67,12.69,49.69,94,29.53,80
